changeseq_run	lab	target_site	total_count	total_on_target	total_off_target	off_target_ratio	total_substitution_only_seqs	total_indels_only	total_sub_or_indel	top_quarter_offtarget_readcount	off_target_max	on_off_max_ratio	Site_Substitution_Number	substitution_read_count
NSN_C_CRL1553_TRAC_site_1	NSN	C_TRAC_site_1	4230	510	3720	0.8794326241134752	196	169	214	2572	104	4.903846153846154	5	1234
NSN_C_CRL1553_TRAC_site_1	NSN	C_TRAC_site_1	4230	510	3720	0.8794326241134752	196	169	214	2572	104	4.903846153846154	6	716
NSN_D_CRL1554_CXCR4_site_7	NSN	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	2	18
NSN_D_CRL1554_CXCR4_site_7	NSN	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	3	54
NSN_D_CRL1554_CXCR4_site_7	NSN	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	4	100
NSN_D_CRL1554_CXCR4_site_7	NSN	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	5	70
NSN_D_CRL1554_CXCR4_site_7	NSN	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	6	172
NSN_E_CRL1555_CTLA4_site_9	NSN	E_CTLA4_site_9	13442	1320	12122	0.9018003273322422	322	295	347	10984	440	3	2	688
NSN_E_CRL1555_CTLA4_site_9	NSN	E_CTLA4_site_9	13442	1320	12122	0.9018003273322422	322	295	347	10984	440	3	3	1996
NSN_E_CRL1555_CTLA4_site_9	NSN	E_CTLA4_site_9	13442	1320	12122	0.9018003273322422	322	295	347	10984	440	3	4	3436
NSN_E_CRL1555_CTLA4_site_9	NSN	E_CTLA4_site_9	13442	1320	12122	0.9018003273322422	322	295	347	10984	440	3	5	3168
NSN_E_CRL1555_CTLA4_site_9	NSN	E_CTLA4_site_9	13442	1320	12122	0.9018003273322422	322	295	347	10984	440	3	6	2162
NSN_F_CRL1556_AAVS1_site_14	NSN	F_AAVS1_site_14	6456	498	5958	0.9228624535315985	280	244	309	4020	278	1.79136690647482	3	550
NSN_F_CRL1556_AAVS1_site_14	NSN	F_AAVS1_site_14	6456	498	5958	0.9228624535315985	280	244	309	4020	278	1.79136690647482	4	1028
NSN_F_CRL1556_AAVS1_site_14	NSN	F_AAVS1_site_14	6456	498	5958	0.9228624535315985	280	244	309	4020	278	1.79136690647482	5	1928
NSN_F_CRL1556_AAVS1_site_14	NSN	F_AAVS1_site_14	6456	498	5958	0.9228624535315985	280	244	309	4020	278	1.79136690647482	6	2036
NSS_A_CRL1551_CCR5_site_3	NSS	A_CCR5_site_3	16834	954	15880	0.943328977070215	716	607	938	7880	130	7.338461538461538	3	802
NSS_A_CRL1551_CCR5_site_3	NSS	A_CCR5_site_3	16834	954	15880	0.943328977070215	716	607	938	7880	130	7.338461538461538	4	3294
NSS_A_CRL1551_CCR5_site_3	NSS	A_CCR5_site_3	16834	954	15880	0.943328977070215	716	607	938	7880	130	7.338461538461538	5	5066
NSS_A_CRL1551_CCR5_site_3	NSS	A_CCR5_site_3	16834	954	15880	0.943328977070215	716	607	938	7880	130	7.338461538461538	6	3066
NSS_B_CRL1552_CCR5_site_8	NSS	B_CCR5_site_8	1278	184	1094	0.8560250391236307	116	103	117	320	40	4.6	2	66
NSS_B_CRL1552_CCR5_site_8	NSS	B_CCR5_site_8	1278	184	1094	0.8560250391236307	116	103	117	320	40	4.6	3	234
NSS_B_CRL1552_CCR5_site_8	NSS	B_CCR5_site_8	1278	184	1094	0.8560250391236307	116	103	117	320	40	4.6	4	404
NSS_B_CRL1552_CCR5_site_8	NSS	B_CCR5_site_8	1278	184	1094	0.8560250391236307	116	103	117	320	40	4.6	5	262
NSS_B_CRL1552_CCR5_site_8	NSS	B_CCR5_site_8	1278	184	1094	0.8560250391236307	116	103	117	320	40	4.6	6	122
NSS_C_CRL1553_TRAC_site_1	NSS	C_TRAC_site_1	4234	510	3724	0.8795465281058101	196	169	214	2572	104	4.903846153846154	3	548
NSS_C_CRL1553_TRAC_site_1	NSS	C_TRAC_site_1	4234	510	3724	0.8795465281058101	196	169	214	2572	104	4.903846153846154	4	920
NSS_C_CRL1553_TRAC_site_1	NSS	C_TRAC_site_1	4234	510	3724	0.8795465281058101	196	169	214	2572	104	4.903846153846154	5	1234
NSS_C_CRL1553_TRAC_site_1	NSS	C_TRAC_site_1	4234	510	3724	0.8795465281058101	196	169	214	2572	104	4.903846153846154	6	718
NSS_D_CRL1554_CXCR4_site_7	NSS	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	2	18
NSS_D_CRL1554_CXCR4_site_7	NSS	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	3	54
NSS_D_CRL1554_CXCR4_site_7	NSS	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	4	100
NSS_D_CRL1554_CXCR4_site_7	NSS	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	5	70
NSS_D_CRL1554_CXCR4_site_7	NSS	D_CXCR4_site_7	550	94	456	0.8290909090909091	48	42	53	116	22	4.2727272727272725	6	172
NSS_E_CRL1555_CTLA4_site_9	NSS	E_CTLA4_site_9	13456	1320	12136	0.9019024970273484	322	295	349	10986	440	3	2	688
NSS_E_CRL1555_CTLA4_site_9	NSS	E_CTLA4_site_9	13456	1320	12136	0.9019024970273484	322	295	349	10986	440	3	3	1996
NSS_E_CRL1555_CTLA4_site_9	NSS	E_CTLA4_site_9	13456	1320	12136	0.9019024970273484	322	295	349	10986	440	3	4	3436
NSS_E_CRL1555_CTLA4_site_9	NSS	E_CTLA4_site_9	13456	1320	12136	0.9019024970273484	322	295	349	10986	440	3	5	3162
NSS_E_CRL1555_CTLA4_site_9	NSS	E_CTLA4_site_9	13456	1320	12136	0.9019024970273484	322	295	349	10986	440	3	6	2170
NSS_F_CRL1556_AAVS1_site_14	NSS	F_AAVS1_site_14	32	12	20	0.625	4	4	4	NA	8	1.5	5	6
NSS_F_CRL1556_AAVS1_site_14	NSS	F_AAVS1_site_14	32	12	20	0.625	4	4	4	NA	8	1.5	6	14
